experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
insilico_in_domain_Pemba_Pemba_size1.0,in_domain,Pemba,Pemba,0.8813559322033898,0.5333333333333333,"[0.8077661826981246, 0.9076271186440678]","[0.50375, 0.6425000000000001]",237,60,23.034192085266113,,0.001895904541015625,22.69395399093628,f9f8a07133d31062eff2dd0796212ae27033d95ad6acf6067ad5cf1e,0,,insilico,1.0,0.8077661826981246,0.9076271186440678,0.50375,0.6425000000000001
insilico_out_domain_Mexico_Pemba_size1.0,out_domain,Mexico,Pemba,0.30000000000000004,0.16666666666666666,"[0.22791666666666666, 0.3425]","[0.07625000000000003, 0.2554166666666667]",1222,60,33.718085289001465,,0.002747058868408203,33.36433792114258,9ffda05db1813b8690e731935e2935198b171a314aa48af2ad0047a9,0,,insilico,1.0,0.22791666666666666,0.3425,0.07625000000000003,0.2554166666666667
insilico_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.3666666666666667,0.23333333333333334,"[0.31666666666666654, 0.43875]","[0.18708333333333332, 0.32958333333333334]",1186,60,39.020323753356934,,0.0027549266815185547,38.824090003967285,c72ddd5be2d70720db5e42f8c496f868b9fec8e9ca5f0f55d4da23c1,0,,insilico,1.0,0.31666666666666654,0.43875,0.18708333333333332,0.32958333333333334
insilico_out_domain_Pemba_AP_size1.0,out_domain,Pemba,AP,0.33783783783783783,0.14814814814814814,"[0.29957770270270273, 0.36410472972972985]","[0.11565656565656565, 0.17095959595959595]",237,297,83.57448983192444,,0.0018491744995117188,83.34415316581726,a277238fbd5953208dac9e4fd4783d2d6245aa887193c6bdefe4d1dc,0,,insilico,1.0,0.29957770270270273,0.36410472972972985,0.11565656565656565,0.17095959595959595
insilico_out_domain_Pemba_Mexico_size1.0,out_domain,Pemba,Mexico,0.2557377049180327,0.08823529411764706,"[0.2009765962036239, 0.29360655737704927]","[0.06756535947712419, 0.09803921568627451]",237,306,86.94014716148376,,0.0026938915252685547,86.65111494064331,913d0d1deff4a723a239d852f5c1b1d7608027508c3dfb83b8108d97,0,,insilico,1.0,0.2009765962036239,0.29360655737704927,0.06756535947712419,0.09803921568627451
insilico_training_size_Mexico_Mexico_size0.25,training_size,Mexico,Mexico,0.7475409836065574,0.27124183006535946,"[0.6794262295081968, 0.7518852459016393]","[0.23676470588235293, 0.2795751633986928]",305,306,126.91913294792175,,0.0019352436065673828,126.7075788974762,c01276904eb9f21bdc68071ba9df7a37bb7d6c9ef4af56a4b9654b82,0,,insilico,0.25,0.6794262295081968,0.7518852459016393,0.23676470588235293,0.2795751633986928
insilico_out_domain_Mexico_AP_size1.0,out_domain,Mexico,AP,0.3905723905723907,0.20202020202020202,"[0.3203703703703704, 0.4377104377104377]","[0.18181818181818182, 0.23905723905723905]",1222,297,131.727952003479,,0.002724170684814453,131.54828906059265,cca573bd1fb5fb5c543a66511ac7e71b76245d5a7b4576ed3c16602e,0,,insilico,1.0,0.3203703703703704,0.4377104377104377,0.18181818181818182,0.23905723905723905
insilico_in_domain_Mexico_Mexico_size1.0,in_domain,Mexico,Mexico,0.7409836065573772,0.3562091503267974,"[0.6655737704918032, 0.7457749137187231]","[0.2937908496732026, 0.36527777777777776]",1222,306,138.4705789089203,,0.0025348663330078125,138.09636402130127,a55851ea8fc542bb8aec2c460d25fe0f0220128b871d02d157a468ab,0,,insilico,1.0,0.6655737704918032,0.7457749137187231,0.2937908496732026,0.36527777777777776
insilico_training_size_Mexico_Mexico_size0.5,training_size,Mexico,Mexico,0.7409836065573772,0.27450980392156865,"[0.67140522875817, 0.7568201542912247]","[0.23202614379084968, 0.31503267973856214]",611,306,134.93034315109253,,0.0019099712371826172,134.70253109931946,5f612089471deb424ddf15f5096a03993a177cf835d7eb3be0338390,0,,insilico,0.5,0.67140522875817,0.7568201542912247,0.23202614379084968,0.31503267973856214
insilico_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.7972972972972974,0.4276094276094276,"[0.7319552507052506, 0.8131537787787788]","[0.3805555555555556, 0.4781144781144781]",1186,297,142.81900882720947,,0.0024302005767822266,142.4803068637848,e2fa1c1c220a0e5060959e027a2184653e3a7cbd4b62179f08cfa5de,0,,insilico,1.0,0.7319552507052506,0.8131537787787788,0.3805555555555556,0.4781144781144781
insilico_training_size_Mexico_Mexico_size0.75,training_size,Mexico,Mexico,0.7442622950819673,0.3137254901960784,"[0.6747549019607842, 0.7547211507553842]","[0.2752450980392157, 0.33292483660130723]",916,306,140.63946509361267,,0.002119779586791992,140.32605981826782,d6bc7f7948fc3d15f9600017b295be64edc294c9fcc1133eb9d414b6,0,,insilico,0.75,0.6747549019607842,0.7547211507553842,0.2752450980392157,0.33292483660130723
insilico_out_domain_AP_Mexico_size1.0,out_domain,AP,Mexico,0.5816993464052287,0.2581699346405229,"[0.5214869281045751, 0.5882352941176471]","[0.21429738562091505, 0.3133169934640523]",1186,306,151.16649103164673,,0.0026597976684570312,150.8116853237152,197589c6242311b1c5b503d10ee331023c07a667197a2a57bfb6333b,0,,insilico,1.0,0.5214869281045751,0.5882352941176471,0.21429738562091505,0.3133169934640523
xgboost_training_size_Mexico_Mexico_size1.0,training_size,Mexico,Mexico,0.8300653594771241,0.4411764705882353,"[0.7667454194792671, 0.8205882352941176]","[0.3968954248366013, 0.47450980392156866]",1222,306,467.31371784210205,458.5540750026703,5.848663091659546,0.1832420825958252,40c39c6b51478ef0c3b1bbf4639d6f45aa3a8dd7c27956df07299229,0,,xgboost,1.0,0.7667454194792671,0.8205882352941176,0.3968954248366013,0.47450980392156866
xgboost_in_domain_Mexico_Mexico_size1.0,in_domain,Mexico,Mexico,0.8529411764705883,0.4444444444444444,"[0.7714609450337513, 0.827859477124183]","[0.3943627450980392, 0.47303921568627455]",1222,306,514.827929019928,506.3744900226593,7.673671007156372,0.14484000205993652,8e0dc9efbb0b7ed4d65ed890b0c5d09adf955810bce867b9d12bc0fb,0,,xgboost,1.0,0.7714609450337513,0.827859477124183,0.3943627450980392,0.47303921568627455
xgboost_out_domain_Pemba_Mexico_size1.0,out_domain,Pemba,Mexico,0.05555555555555558,0.013071895424836602,"[0.03741830065359484, 0.0808823529411765]","[0.00400326797385621, 0.02393790849673203]",237,306,535.9152190685272,534.7387099266052,0.5025119781494141,0.02507185935974121,373e67f415fbc20eca2a526062bccf45c55dd4f167be4eb4e87cdd2c,0,,xgboost,1.0,0.03741830065359484,0.0808823529411765,0.00400326797385621,0.02393790849673203
xgboost_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.28333333333333344,0.21666666666666667,"[0.23708333333333328, 0.3295833333333334]","[0.17041666666666666, 0.3129166666666667]",1186,60,588.0903429985046,584.6507680416107,2.7732160091400146,0.018664836883544922,992becd7dfc79c6d2f35fa848b3087dd9ec935b992303cc41e6edcc9,0,,xgboost,1.0,0.23708333333333328,0.3295833333333334,0.17041666666666666,0.3129166666666667
xgboost_in_domain_Pemba_Pemba_size1.0,in_domain,Pemba,Pemba,0.847457627118644,0.6333333333333333,"[0.7333333333333334, 0.8720833333333333]","[0.6333333333333333, 0.7591666666666667]",237,60,598.3982121944427,596.6942422389984,1.0313091278076172,0.021055936813354492,0cd0295634313f3f548a65b0355ecef79276a36e6d077f21c1fd2e62,0,,xgboost,1.0,0.7333333333333334,0.8720833333333333,0.6333333333333333,0.7591666666666667
xgboost_training_size_Mexico_Mexico_size0.75,training_size,Mexico,Mexico,0.8398692810457516,0.4084967320261438,"[0.7777777777777778, 0.8256535947712418]","[0.35841503267973857, 0.41683006535947714]",916,306,607.046777009964,599.7886989116669,4.390129804611206,0.163923978805542,b644abb13a386d7553f49a240024137123fcc3a3e1334dce2455487a,0,,xgboost,0.75,0.7777777777777778,0.8256535947712418,0.35841503267973857,0.41683006535947714
xgboost_training_size_Mexico_Mexico_size0.5,training_size,Mexico,Mexico,0.8235294117647058,0.39869281045751637,"[0.7208333333333333, 0.7944444444444445]","[0.3344771241830065, 0.4102941176470588]",611,306,608.0439059734344,605.0466668605804,2.1920769214630127,0.11496090888977051,71f84328591a9e6c06f7e77afcee91dd4ebdfe0799508450cc7ed0cc,0,,xgboost,0.5,0.7208333333333333,0.7944444444444445,0.3344771241830065,0.4102941176470588
xgboost_out_domain_Mexico_AP_size1.0,out_domain,Mexico,AP,0.4612794612794613,0.2255892255892256,"[0.37525252525252534, 0.5048821548821548]","[0.1941919191919192, 0.24579124579124578]",1222,297,611.8657820224762,605.9170958995819,5.2416887283325195,0.0573732852935791,e28a9d3af04d642636c5ea94ca272d134b1142bd55369775a45623f8,0,,xgboost,1.0,0.37525252525252534,0.5048821548821548,0.1941919191919192,0.24579124579124578
xgboost_out_domain_Pemba_AP_size1.0,out_domain,Pemba,AP,0.18918918918918926,0.03367003367003367,"[0.15692567567567556, 0.23192567567567562]","[0.028451178451178453, 0.05235690235690236]",237,297,619.0570819377899,617.6964938640594,0.39040708541870117,0.020062923431396484,fe8deb8d9c11fe0019da61d042a31e087560fa1d660e5b318b908d37,0,,xgboost,1.0,0.15692567567567556,0.23192567567567562,0.028451178451178453,0.05235690235690236
xgboost_training_size_Mexico_Mexico_size0.25,training_size,Mexico,Mexico,0.7973856209150327,0.3790849673202614,"[0.7226307189542485, 0.7911764705882353]","[0.3348039215686274, 0.4210784313725491]",305,306,617.5759880542755,615.2187781333923,1.5669841766357422,0.07463502883911133,8ea71f41af1a704efba5d328dec2882d733c576ea29dac3938cf6d08,0,,xgboost,0.25,0.7226307189542485,0.7911764705882353,0.3348039215686274,0.4210784313725491
